Data Field,Value
Study ID,Ogawa 1990
Title,EFFECTS OF MAGNESIUM SALTS IN PREVENTING EXPERIMENTAL OXALATE UROLITHIASIS IN RATS
First Author,Ogawa
Year,1990
Journal,THE JOURNAL OF UROLOGY
Country,Japan
DOI / PMID / Trial Registry ID,NR
Funding Source,NR
Conflict of Interest Stated?,NR
Study Design,Randomized controlled animal study
Control Group Type,Disease control
Blinding,NR
Randomization Method,NR
Allocation Concealment,NR
Dietary Restrictions or Co-interventions?,"All the diets were fed in powder form, and the rats had access to drinking water ad libitum"
Duration of Treatment,4 weeks
Total Follow-up Duration,4 weeks
Loss to Follow-up (n per arm if reported),4
Analysis Population Used,NR
Total Sample Size (Randomized),30
Sample Size Analyzed (Primary Outcome),26
Mean Age (± SD),NR
Sex (% Female),0
BMI (Mean ± SD),N/A
Stone Type,Ca oxalate
History of Stones,N/A
Baseline Stone Size or Burden (if reported),N/A
Baseline Urinary Calcium (Mean ± SD, units),NR
Baseline Urinary pH (Mean ± SD),NR
Species,Male Wistar-strain rats
Stone Induction Method,Ca-oxalate lithogenic diet (3% glycolic acid)
Arm ID,A
Intervention Name,NR
Dose,NR
Frequency,NR
Route,NR
Comparator Name,NR
Concomitant Medications Allowed?,NR
Outcome A: Stone Recurrence / New Stone Formation (DICHOTOMOUS),N/A
Outcome Definition (verbatim or summary),NR
Method of Detection,NR
Timepoint Assessed,NR
Events (n) [Intervention],NR
Total (N) [Intervention],NR
Events (n) [Control],NR
Total (N) [Control],NR
Effect Measure Reported in Paper,NR
Time-to-Event Data Reported?,NR
Outcome B: Urinary Biochemistry (CONTINUOUS),N/A
Timepoint Assessed,NR
Urine Calcium [Intervention],NR
Urine Calcium [Control],NR
Urine Citrate [Intervention],NR
Urine Citrate [Control],NR
Urine Oxalate [Intervention],NR
Urine Oxalate [Control],NR
Urine Magnesium [Intervention],NR
Urine Magnesium [Control],NR
Urine pH [Intervention],NR
Urine pH [Control],NR
Urine Phosphorus [Intervention],NR
Urine Phosphorus [Control],NR
Variance Type Used,NR
Outcome C: ANIMAL-ONLY OUTCOMES,N/A
Kidney Calcium Content (Mean ± SD),N/A
Intervention,NR
Control,NR
Crystal Deposit Score (Mean ± SD),N/A
Intervention,NR
Control,NR
GI Symptoms (n per arm),NR
Withdrawals Due to Adverse Events (n per arm),4
Other Adverse Events (verbatim),"Growth retardation in the Mg-sulfate, Mg-oxide, and Mg-hydroxide groups"
Primary Timepoint Recommended for Pooling,4 weeks
Outcome Suitable for Meta-analysis? (Yes / No),NR
Data Requires Imputation for SD? (Yes / No / Not sure),NR
Comments / Extraction Notes,NR
